Security Start Date,Company Name,Country of Incorporation,LSE Market,FCA Listing Category,ISIN,Security Name,TIDM,Mkt Cap £m,Shares in Issue,Industry,Supersector,Sector,Subsector,Group,MarketSegmentCode,MarketSectorCode,Trading Currency,,,,,,,,,,,,,,,,,,
2-Aug-06,1PM PLC                            ,GB,AIM,,GB00BCDBXK43,ORD GBP0.1                              ,OPM  ,33.884728635,"52,534,463.00",Financials,Financial Services,Financial Services,Specialty Finance,8775,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
2-Feb-09,1SPATIAL PLC                       ,GB,AIM,,GB00B09LQS34,ORD GBP0.01                             ,SPA  ,32.2934306625,"738,135,558.00",Industrials,Industrial Goods & Services,Support Services,Business Support Services,2791,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
15-Apr-05,21ST CENTURY TECHNOLOGY PLC        ,GB,AIM,,GB0008866310,ORD GBP0.065                            ,C21  ,1.74824540625,"93,239,755.00",Industrials,Industrial Goods & Services,Support Services,Business Support Services,2791,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
23-Sep-05,32RED                              ,GI,AIM,,GI000A0F56M0,ORD GBP0.002                            ,TTR  ,108.90199636875,"83,690,295.00",Consumer Services,Travel & Leisure,Travel & Leisure,Gambling,5752,AMSM,ASM6,GBX,,,,,,,,,,,,,,,,,,
21-Aug-15,365 AGILE GROUP PLC                ,GB,AIM,,GB00BYY8NN14,ORD GBP0.30                             ,365  ,5.012229345,"18,914,073.00",Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment,2733,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
18-Jul-94,3I GROUP                           ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00B1YW4409,ORD GBP0.738636                         ,III ,5957.506076665,"969,488,377.00",Financials,Financial Services,Financial Services,Specialty Finance,8775,SET1,FS10,GBX,,,,,,,,,,,,,,,,,,
13-Mar-07,3I INFRASTRUCTURE PLC              ,JE,UK Main Market,Premium Equity Closed Ended Investment Funds,JE00BYR8GK67,ORD NPV                                 ,3IN ,1916.568375782,"1,026,549,746.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,STMM,25FS,GBX,,,,,,,,,,,,,,,,,,
18-Feb-14,4D PHARMA PLC                      ,GB,AIM,,GB00BJL5BR07,ORD GBP0.0025                           ,DDDD ,449.14268875,"64,858,150.00",Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,4577,AMSM,AS50,GBX,,,,,,,,,,,,,,,,,,
5-Nov-53,4IMPRINT GROUP PLC                 ,GB,UK Main Market,Premium Equity Commercial Companies,GB0006640972,ORD GBP0.38461538                       ,FOUR,422.4332,"26,402,075.00",Consumer Services,Media,Media,Media Agencies,5555,SSMM,SSC6,GBX,,,,,,,,,,,,,,,,,,
14-Jul-11,600 GROUP                          ,GB,AIM,,GB0008121641,ORD GBP0.01                             ,SIXH ,9.914005915,"104,357,957.00",Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery,2757,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
10-Jun-14,7DIGITAL GROUP PLC                 ,GB,AIM,,GB00BMH46555,ORD GBP0.1                              ,7DIG ,7.2344698125,"115,751,517.00",Consumer Services,Retail,General Retailers,Specialty Retailers,5379,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
3-Feb-12,88 ENERGY LTD                      ,AU,AIM,,AU00000088E2,NPV(DI)                                 ,88E  ,126.4199014975,"3,889,843,123.00",Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,533,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
4-Oct-05,888 HLDGS                          ,GI,International Main Market,Premium Equity Commercial Companies,GI000A0F6407,ORD GBP0.005                            ,888 ,761.32786806,"349,232,967.00",Consumer Services,Travel & Leisure,Travel & Leisure,Gambling,5752,SET3,ON5 ,GBX,,,,,,,,,,,,,,,,,,
26-Jun-14,AA PLC                             ,GB,UK Main Market,Premium Equity Commercial Companies,GB00BMSKPJ95,ORD GBP0.001                            ,AA. ,1637.243130404,"605,937,502.00",Consumer Services,Retail,General Retailers,Specialized Consumer Services,5377,STMM,F25F,GBX,,,,,,,,,,,,,,,,,,
22-May-13,AB DYNAMICS PLC                    ,GB,AIM,,GB00B9GQVG73,ORD GBP0.01                             ,ABDP ,81.7170588,"17,764,578.00",Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery,2757,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
16-Nov-04,ABBEY PLC                          ,IE,AIM,,IE0000020408,ORD EUR0.32                             ,ABBY ,226.55325625,"21,525,250.00",Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction,3728,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
11-Dec-78,ABBOTT LABORATORIES                ,US,International Main Market,Standard Shares,US0028241000,NPV                                     ,ABT ,68787.9351139773,"2,120,657,659.00",Health Care,Health Care,Health Care Equipment & Services,Medical Supplies,4537,SSX4,SXSN,USD,,,,,,,,,,,,,,,,,,
3-Nov-05,ABCAM                              ,GB,AIM,,GB00B6774699,ORD GBP0.002                            ,ABC  ,1444.519899295,"199,106,809.00",Health Care,Health Care,Pharmaceuticals & Biotechnology,Biotechnology,4573,AMSM,AS50,GBX,,,,,,,,,,,,,,,,,,
20-Dec-05,ABERDEEN ASIAN INCOME FUND         ,JE,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00B0P6J834,ORD NPV                                 ,AAIF,353.82063405,"181,446,479.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMM,SSC6,GBX,,,,,,,,,,,,,,,,,,
19-Oct-95,ABERDEEN ASIAN SMALLER CO INV TST  ,GB,UK Main Market,Standard Debt,GB00B7ZMLM88,3.5% CNV UNSEC LN STK 31/5/19 GBP       ,AASC,311.9527713375,"35,000,000.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSX3,SQSL,GBX,,,,,,,,,,,,,,,,,,
19-Oct-95,ABERDEEN ASIAN SMALLER CO INV TST  ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0000100767,GBP0.25                                 ,AAS ,311.9527713375,"32,673,765.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMM,SSC6,GBX,,,,,,,,,,,,,,,,,,
28-Mar-91,ABERDEEN ASSET MANAGEMENT PLC      ,GB,UK Main Market,Premium Equity Commercial Companies,GB0000031285,ORD GBP0.10                             ,ADN ,4082.009177652,"1,273,240,542.00",Financials,Financial Services,Financial Services,Asset Managers,8771,STMM,F25F,GBX,,,,,,,,,,,,,,,,,,
10-Nov-09,ABERDEEN EMERGING MKTS INV CO LTD  ,GG,UK Main Market,Premium Equity Closed Ended Investment Funds,GG00B45L2K95,ORD GBP0.01                             ,AEMC,358.0061985,"75,369,726.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SET3,ON10,GBX,,,,,,,,,,,,,,,,,,
15-Jun-07,ABERDEEN FRONTIER MKTS INV CO LTD  ,GG,AIM,,GG00B1W59J17,ORD NPV                                 ,AFMC ,103.79425,"169,460,000.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
1-Oct-98,ABERDEEN JAPAN INVESTMENT TRUST PLC,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0003920757,ORD GBP0.10                             ,AJIT,69.85798992,"14,374,072.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
16-Aug-10,ABERDEEN LATIN AMERICAN INCOME FD  ,JE,UK Main Market,Premium Equity Closed Ended Investment Funds,JE00B44ZTP62,ORD NPV                                 ,ALAI,42.77180024,"64,197,824.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SET3,ON15,GBX,,,,,,,,,,,,,,,,,,
3-Sep-13,ABERDEEN NEW DAWN INVESTMENT TST   ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00BBM56V29,GBP0.05                                 ,ABD ,241.61961225,"132,032,575.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMM,SSC6,GBX,,,,,,,,,,,,,,,,,,
22-Dec-89,ABERDEEN NEW THAI INVESTMENT TRUST ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0000059971,GBP0.25                                 ,ANW ,83.0510328375,"17,383,785.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SET3,ON15,GBX,,,,,,,,,,,,,,,,,,
