epsilon, gamma, alpha, defaultq, successes, avg_buffer, avg_penalties
0.2, 0.5, '1.0/t', 0.0, 88,0.52269751082251081, 1.06 
0.2, 0.5, '1.0/t', 0.0, 86,0.49981358434846801, 1.04 
0.2, 0.5, '1.0/t', 0.0, 87,0.49572523262178447, 0.99 
0.2, 0.5, '1.0/t', 0.0, 91,0.51184894470608766, 1.25 
0.2, 0.5, '1.0/t', 0.0, 86,0.56855599181180583, 1.21 
0.2, 0.5, '1.0/t', 0.0, 92,0.54491098876968447, 0.97 
0.2, 0.5, '1.0/t', 0.0, 82,0.52509045155386613, 1.07 
0.2, 0.5, '1.0/t', 0.0, 84,0.49827853363567653, 1.27 
0.2, 0.5, '1.0/t', 0.0, 88,0.47624475272202543, 1.11 
0.2, 0.5, '1.0/t', 0.0, 89,0.54870429819868027, 0.86 
0.2, 0.5, '1.0/t', 0.0, 85,0.52116348357524833, 1.07 
0.2, 0.5, '1.0/t', 0.0, 83,0.48744119334480779, 1.41 
0.2, 0.5, '1.0/t', 0.0, 82,0.54053619821912502, 1.01 
0.2, 0.5, '1.0/t', 0.0, 88,0.48919823232323234, 1.18 
0.2, 0.5, '1.0/t', 0.0, 87,0.47430395913154533, 1.05 
0.2, 0.5, '1.0/t', 0.0, 86,0.51147311990335242, 1.17 
0.2, 0.5, '1.0/t', 0.0, 88,0.54518094910140358, 1.03 
0.2, 0.5, '1.0/t', 0.0, 90,0.52661760461760465, 1.16 
0.2, 0.5, '1.0/t', 0.0, 85,0.51092343604108315, 1.1 
0.2, 0.5, '1.0/t', 0.0, 87,0.54545811149259416, 0.99 
0.2, 0.5, '1.0/t', 0.0, 85,0.54773151684916388, 1.02 
0.2, 0.5, '1.0/t', 0.0, 90,0.51322767356100685, 1.06 
0.2, 0.5, '1.0/t', 0.0, 86,0.50493816906607603, 1.18 
0.2, 0.5, '1.0/t', 0.0, 88,0.51880321067821067, 1.1 
0.2, 0.5, '1.0/t', 0.0, 86,0.50440157387831808, 1.16 
0.2, 0.5, '1.0/t', 0.0, 89,0.53380798352708458, 1.01 
0.2, 0.5, '1.0/t', 0.0, 87,0.53285258164568505, 0.98 
0.2, 0.5, '1.0/t', 0.0, 89,0.47982489420691671, 1.15 
0.2, 0.5, '1.0/t', 0.0, 94,0.52965567529397317, 1.14 
0.2, 0.5, '1.0/t', 0.0, 88,0.51946387577069397, 1.08 
0.2, 0.5, '1.0/t', 0.0, 84,0.55331924689067546, 1.05 
0.2, 0.5, '1.0/t', 0.0, 86,0.51928386858619424, 1.01 
0.2, 0.5, '1.0/t', 0.0, 89,0.55139111824505083, 0.97 
0.2, 0.5, '1.0/t', 0.0, 86,0.50580539615423337, 1.1 
0.2, 0.5, '1.0/t', 0.0, 89,0.50515694667380062, 1.05 
0.2, 0.5, '1.0/t', 0.0, 90,0.53396985730319069, 0.94 
0.2, 0.5, '1.0/t', 0.0, 91,0.50900417043274182, 0.92 
0.2, 0.5, '1.0/t', 0.0, 90,0.49950793650793651, 1.02 
0.2, 0.5, '1.0/t', 0.0, 94,0.51921394799054366, 1.16 
0.2, 0.5, '1.0/t', 0.0, 92,0.52168995859213252, 1.02 
0.2, 0.5, '1.0/t', 0.0, 93,0.53262331455879841, 0.93 
0.2, 0.5, '1.0/t', 0.0, 84,0.56007086167800446, 1.1 
0.2, 0.5, '1.0/t', 0.0, 88,0.51641233766233763, 0.94 
0.2, 0.5, '1.0/t', 0.0, 84,0.50833616780045365, 1.07 
0.2, 0.5, '1.0/t', 0.0, 89,0.51914595392123475, 1.1 
0.2, 0.5, '1.0/t', 0.0, 83,0.50548740416210292, 1.12 
0.2, 0.5, '1.0/t', 0.0, 92,0.49400221155655943, 1.23 
0.2, 0.5, '1.0/t', 0.0, 93,0.47504530714208132, 1.06 
0.2, 0.5, '1.0/t', 0.0, 87,0.52492428388980117, 1.31 
0.2, 0.5, '1.0/t', 0.0, 89,0.51134174813950084, 1.07 
0.1, 0.5, '1.0/t', 0.0, 96,0.55835745851370844, 0.61 
0.1, 0.5, '1.0/t', 0.0, 97,0.5512788414334806, 0.47 
0.1, 0.5, '1.0/t', 0.0, 89,0.5568637417513822, 0.76 
0.1, 0.5, '1.0/t', 0.0, 94,0.54013271007951857, 0.67 
0.1, 0.5, '1.0/t', 0.0, 94,0.56613866629824083, 0.47 
0.1, 0.5, '1.0/t', 0.0, 91,0.55552328623757197, 0.66 
0.1, 0.5, '1.0/t', 0.0, 94,0.56300988609499258, 0.56 
0.1, 0.5, '1.0/t', 0.0, 96,0.60168981481481476, 0.53 
0.1, 0.5, '1.0/t', 0.0, 95,0.53068990658464343, 0.45 
0.1, 0.5, '1.0/t', 0.0, 95,0.56385630743525472, 0.52 
0.1, 0.5, '1.0/t', 0.0, 93,0.5170894040248879, 0.59 
0.1, 0.5, '1.0/t', 0.0, 95,0.57817961570593157, 0.51 
0.1, 0.5, '1.0/t', 0.0, 96,0.56596974206349204, 0.5 
0.1, 0.5, '1.0/t', 0.0, 93,0.59288809756551686, 0.46 
0.1, 0.5, '1.0/t', 0.0, 90,0.55539089305755962, 0.64 
0.1, 0.5, '1.0/t', 0.0, 91,0.55054342482913909, 0.6 
0.1, 0.5, '1.0/t', 0.0, 93,0.52167008021846739, 0.53 
0.1, 0.5, '1.0/t', 0.0, 97,0.52454076850984066, 0.56 
0.1, 0.5, '1.0/t', 0.0, 95,0.55862033872560179, 0.62 
0.1, 0.5, '1.0/t', 0.0, 90,0.48554922238255571, 0.78 
0.1, 0.5, '1.0/t', 0.0, 93,0.55461341525857655, 0.58 
0.1, 0.5, '1.0/t', 0.0, 95,0.55075856307435245, 0.63 
0.1, 0.5, '1.0/t', 0.0, 96,0.56108307780182776, 0.55 
0.1, 0.5, '1.0/t', 0.0, 93,0.54570963087092117, 0.69 
0.1, 0.5, '1.0/t', 0.0, 95,0.58305475810738983, 0.67 
0.1, 0.5, '1.0/t', 0.0, 94,0.54197568389057749, 0.62 
0.1, 0.5, '1.0/t', 0.0, 94,0.54368287740628174, 0.56 
